iPhone 15 Pro,15000000,Smartphone,Latest Apple smartphone
MacBook Air M3,20000000,Laptop,Apple laptop with M3 chip
Samsung 4K TV,8000000,TV,55-inch Smart TV
Dell XPS 13,18000000,Laptop,Compact and powerful ultrabook
ASUS ROG Strix,22000000,Laptop,High-performance gaming laptop
Xiaomi Redmi Note 12,3000000,Smartphone,Budget-friendly smartphone
LG OLED TV,25000000,TV,Ultra HD OLED television
HP Pavilion,10000000,Laptop,Affordable performance laptop
Realme C55,2500000,Smartphone,Entry-level smartphone
iPad Air,12000000,Tablet,Lightweight Apple tablet
Lenovo IdeaPad,7500000,Laptop,Basic laptop for daily tasks
Samsung Galaxy Tab S9,13000000,Tablet,High-end Android tablet
Acer Aspire 5,8500000,Laptop,Mainstream laptop with solid specs
Vivo V27,4500000,Smartphone,Camera-centric midrange phone
TCL 55P635,7000000,TV,4K UHD Google TV
Microsoft Surface Pro 9,23000000,Tablet,Powerful 2-in-1 device
Oppo A57,2200000,Smartphone,Affordable with long battery life
Sharp Aquos,10000000,TV,Smart TV with surround sound
test,10000,Laptop,percobaan
